root@comp3134-lab:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:08:53.365166 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8480:8684, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.365195 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8684:8720, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.365234 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8720:8924, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.365264 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8924:8960, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.365315 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 8960:9164, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.365344 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 9164:9200, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.365382 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 9200:9404, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.365411 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 9404:9440, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.365450 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 9440:9644, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
20:08:53.365479 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 9644:9680, ack 1, win 501, options [nop,nop,TS val 1052717999 ecr 3412766538], length 36
20:08:53.382105 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 9680, win 5479, options [nop,nop,TS val 3412766621 ecr 1052717999], length 0
20:08:53.382106 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 9680, win 5554, options [nop,nop,TS val 3412766621 ecr 1052717999], length 0
20:08:53.382198 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 9680:10368, ack 1, win 501, options [nop,nop,TS val 1052718015 ecr 3412766621], length 688
20:08:53.401886 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 10368, win 5544, options [nop,nop,TS val 3412766639 ecr 1052718015], length 0
20:08:53.467986 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 10368:10572, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 204
20:08:53.468124 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 10572:10608, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 36
20:08:53.468145 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 10608:10812, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 204
20:08:53.468173 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 10812:10848, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 36
20:08:53.468212 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 10848:11052, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 204
20:08:53.468253 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 11052:11088, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 36
20:08:53.468292 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 11088:11292, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 204
20:08:53.468319 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 11292:11328, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 36
20:08:53.468384 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 11328:11532, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 204
20:08:53.468412 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 11532:11568, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 36
20:08:53.468449 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 11568:11772, ack 1, win 501, options [nop,nop,TS val 1052718101 ecr 3412766639], length 204
20:08:53.468475 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 11772:11808, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.468511 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 11808:12012, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.468538 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12012:12048, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.468574 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12048:12252, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.468601 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12252:12288, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.468638 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12288:12492, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.468664 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12492:12528, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.468700 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12528:12732, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.468728 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12732:12768, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.468764 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12768:12972, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.468790 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 12972:13008, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.468836 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13008:13212, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.468863 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13212:13248, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.468899 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13248:13452, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.468925 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13452:13488, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.468961 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13488:13692, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.468987 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13692:13728, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.469023 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13728:13932, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.469049 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13932:13968, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.469099 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 13968:14172, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.469139 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 14172:14208, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.469180 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 14208:14412, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.469208 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 14412:14448, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.469244 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 14448:14652, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.469270 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 14652:14688, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
